"Q16.0","ICD10CM","CM_752.12"
"744.22","ICD9CM","CM_752.2"
"Q17.1","ICD10CM","CM_752.2"
"744.1","ICD9CM","CM_752.3"
"Q17.0","ICD10CM","CM_752.3"
"Q17.4","ICD10CM","CM_752.4"
"Q17.5","ICD10CM","CM_752.5"
"Q16.1","ICD10CM","CM_752.6"
"744.03","ICD9CM","CM_752.7"
"744.04","ICD9CM","CM_752.7"
"744.24","ICD9CM","CM_752.7"
"Q16.2","ICD10CM","CM_752.7"
"Q16.3","ICD10CM","CM_752.7"
"Q16.4","ICD10CM","CM_752.7"
"744.05","ICD9CM","CM_752.8"
"Q16.5","ICD10CM","CM_752.8"
"744","ICD9CM","CM_753"
"744.8","ICD9CM","CM_753"
"744.89","ICD9CM","CM_753"
"744.9","ICD9CM","CM_753"
"755.55","ICD9CM","CM_753"
"Q18","ICD10CM","CM_753"
"Q18.8","ICD10CM","CM_753"
"Q18.9","ICD10CM","CM_753"
"Z87.790","ICD10CM","CM_753"
"744.4","ICD9CM","CM_753.1"
"744.41","ICD9CM","CM_753.1"
"744.42","ICD9CM","CM_753.1"
"744.43","ICD9CM","CM_753.1"
"744.49","ICD9CM","CM_753.1"
"Q18.0","ICD10CM","CM_753.1"
"Q18.2","ICD10CM","CM_753.1"
"744.46","ICD9CM","CM_753.2"
"744.47","ICD9CM","CM_753.2"
"Q18.1","ICD10CM","CM_753.2"
"744.5","ICD9CM","CM_753.3"
"Q18.3","ICD10CM","CM_753.3"
"750","ICD9CM","CM_754"
"750.2","ICD9CM","CM_754"
"Q38","ICD10CM","CM_754"
"Q38.5","ICD10CM","CM_754"
"Q38.6","ICD10CM","CM_754"
"749","ICD9CM","CM_754.1"
"Z87.730","ICD10CM","CM_754.1"
"749.0","ICD9CM","CM_754.11"
"749.00","ICD9CM","CM_754.11"
"749.01","ICD9CM","CM_754.11"
"749.02","ICD9CM","CM_754.11"
"749.03","ICD9CM","CM_754.11"
"749.04","ICD9CM","CM_754.11"
"Q35","ICD10CM","CM_754.11"
"Q35.1","ICD10CM","CM_754.11"
"Q35.3","ICD10CM","CM_754.11"
"Q35.5","ICD10CM","CM_754.11"
"Q35.9","ICD10CM","CM_754.11"
"749.2","ICD9CM","CM_754.111"
"749.20","ICD9CM","CM_754.111"
"749.21","ICD9CM","CM_754.111"
"749.22","ICD9CM","CM_754.111"
"749.23","ICD9CM","CM_754.111"
"749.24","ICD9CM","CM_754.111"
"749.25","ICD9CM","CM_754.111"
"Q37","ICD10CM","CM_754.111"
"Q37.0","ICD10CM","CM_754.111"
"Q37.1","ICD10CM","CM_754.111"
"Q37.2","ICD10CM","CM_754.111"
"Q37.3","ICD10CM","CM_754.111"
"Q37.4","ICD10CM","CM_754.111"
"Q37.5","ICD10CM","CM_754.111"
"Q37.8","ICD10CM","CM_754.111"
"Q37.9","ICD10CM","CM_754.111"
"749.1","ICD9CM","CM_754.12"
"749.10","ICD9CM","CM_754.12"
"749.11","ICD9CM","CM_754.12"
"749.12","ICD9CM","CM_754.12"
"749.13","ICD9CM","CM_754.12"
"749.14","ICD9CM","CM_754.12"
"Q36","ICD10CM","CM_754.12"
"Q36.0","ICD10CM","CM_754.12"
"Q36.1","ICD10CM","CM_754.12"
"Q36.9","ICD10CM","CM_754.12"
"Q35.7","ICD10CM","CM_754.14"
"744.83","ICD9CM","CM_754.31"
"Q18.4","ICD10CM","CM_754.31"
"744.84","ICD9CM","CM_754.32"
"Q18.5","ICD10CM","CM_754.32"
"750.25","ICD9CM","CM_754.4"
"750.26","ICD9CM","CM_754.4"
"Q38.0","ICD10CM","CM_754.4"
"744.81","ICD9CM","CM_754.41"
"Q18.6","ICD10CM","CM_754.41"
"744.82","ICD9CM","CM_754.42"
"Q18.7","ICD10CM","CM_754.42"
"750.1","ICD9CM","CM_754.5"
"750.10","ICD9CM","CM_754.5"
"750.11","ICD9CM","CM_754.5"
"750.12","ICD9CM","CM_754.5"
"750.13","ICD9CM","CM_754.5"
"750.16","ICD9CM","CM_754.5"
"750.19","ICD9CM","CM_754.5"
"Q38.3","ICD10CM","CM_754.5"
"750.15","ICD9CM","CM_754.52"
"Q38.2","ICD10CM","CM_754.52"
"750.21","ICD9CM","CM_754.6"
"750.22","ICD9CM","CM_754.6"
"750.23","ICD9CM","CM_754.6"
"750.24","ICD9CM","CM_754.6"
"Q38.4","ICD10CM","CM_754.6"
"750.29","ICD9CM","CM_754.7"
"Q38.8","ICD10CM","CM_754.7"
"750.27","ICD9CM","CM_754.71"
"Q38.7","ICD10CM","CM_754.71"
"754.0","ICD9CM","CM_755"
"756.0","ICD9CM","CM_755"
"Q67.4","ICD10CM","CM_755"
"Q75","ICD10CM","CM_755"
"Q75.8","ICD10CM","CM_755"
"Q75.9","ICD10CM","CM_755"
"Q87.0","ICD10CM","CM_755"
"Q67.0","ICD10CM","CM_755.1"
"Q67.1","ICD10CM","CM_755.1"
"Q67.2","ICD10CM","CM_755.21"
"Q67.3","ICD10CM","CM_755.22"
"Q75.0","ICD10CM","CM_755.23"
"Q75.1","ICD10CM","CM_755.3"
"Q75.5","ICD10CM","CM_755.3"
"Q75.4","ICD10CM","CM_755.31"
"Q75.3","ICD10CM","CM_755.4"
"376.41","ICD9CM","CM_755.5"
"Q75.2","ICD10CM","CM_755.5"
"748.1","ICD9CM","CM_755.6"
"Q30","ICD10CM","CM_755.6"
"Q30.3","ICD10CM","CM_755.6"
"Q30.8","ICD10CM","CM_755.6"
"Q30.9","ICD10CM","CM_755.6"
"748.0","ICD9CM","CM_755.61"
"Q30.0","ICD10CM","CM_755.61"
"Q30.2","ICD10CM","CM_755.62"
"Q30.1","ICD10CM","CM_755.63"
"P96.3","ICD10CM","CM_755.7"
"750.8","ICD9CM","CM_757"
"750.9","ICD9CM","CM_757"
"Q40","ICD10CM","CM_757"
"Q40.8","ICD10CM","CM_757"
"Q40.9","ICD10CM","CM_757"
"750.4","ICD9CM","CM_757.1"
"Q39","ICD10CM","CM_757.1"
"Q39.8","ICD10CM","CM_757.1"
"Q39.9","ICD10CM","CM_757.1"
"750.3","ICD9CM","CM_757.11"
"Q39.0","ICD10CM","CM_757.11"
"Q39.1","ICD10CM","CM_757.11"
"Q39.2","ICD10CM","CM_757.11"
"Q39.3","ICD10CM","CM_757.11"
"Q39.4","ICD10CM","CM_757.111"
"Q39.5","ICD10CM","CM_757.12"
"Q39.6","ICD10CM","CM_757.13"
"750.7","ICD9CM","CM_757.2"
"Q40.2","ICD10CM","CM_757.2"
"Q40.3","ICD10CM","CM_757.2"
"750.5","ICD9CM","CM_757.21"
"Q40.0","ICD10CM","CM_757.21"
"750.6","ICD9CM","CM_757.22"
"Q40.1","ICD10CM","CM_757.22"
"751","ICD9CM","CM_758"
"751.8","ICD9CM","CM_758"
"751.9","ICD9CM","CM_758"
"Q45","ICD10CM","CM_758"
"Q45.8","ICD10CM","CM_758"
"Q45.9","ICD10CM","CM_758"
"V13.67","ICD9CM","CM_758"
"Z87.73","ICD10CM","CM_758"
"Z87.738","ICD10CM","CM_758"
"751.5","ICD9CM","CM_758.1"
"Q43","ICD10CM","CM_758.1"
"Q43.2","ICD10CM","CM_758.1"
"Q43.6","ICD10CM","CM_758.1"
"Q43.8","ICD10CM","CM_758.1"
"Q43.9","ICD10CM","CM_758.1"
"751.0","ICD9CM","CM_758.11"
"Q43.0","ICD10CM","CM_758.11"
"751.3","ICD9CM","CM_758.12"
"Q43.1","ICD10CM","CM_758.12"
"751.1","ICD9CM","CM_758.131"
"Q41","ICD10CM","CM_758.131"
"Q41.0","ICD10CM","CM_758.131"
"Q41.1","ICD10CM","CM_758.131"
"Q41.2","ICD10CM","CM_758.131"
"Q41.8","ICD10CM","CM_758.131"
"Q41.9","ICD10CM","CM_758.131"
"751.2","ICD9CM","CM_758.132"
"Q42","ICD10CM","CM_758.132"
"Q42.0","ICD10CM","CM_758.132"
"Q42.1","ICD10CM","CM_758.132"
"Q42.2","ICD10CM","CM_758.132"
"Q42.3","ICD10CM","CM_758.132"
"Q42.8","ICD10CM","CM_758.132"
"Q42.9","ICD10CM","CM_758.132"
"751.4","ICD9CM","CM_758.14"
"Q43.3","ICD10CM","CM_758.14"
"Q43.4","ICD10CM","CM_758.15"
"Q43.5","ICD10CM","CM_758.16"
"Q43.7","ICD10CM","CM_758.17"
"751.6","ICD9CM","CM_758.2"
"751.60","ICD9CM","CM_758.2"
"751.69","ICD9CM","CM_758.2"
"Q44","ICD10CM","CM_758.2"
"Q44.0","ICD10CM","CM_758.2"
"Q44.1","ICD10CM","CM_758.2"
"Q44.4","ICD10CM","CM_758.2"
"Q44.5","ICD10CM","CM_758.2"
"Q44.7","ICD10CM","CM_758.2"
"751.61","ICD9CM","CM_758.21"
"Q44.2","ICD10CM","CM_758.21"
"Q44.3","ICD10CM","CM_758.21"
"751.62","ICD9CM","CM_758.22"
"Q44.6","ICD10CM","CM_758.22"
"751.7","ICD9CM","CM_758.3"
"Q45.0","ICD10CM","CM_758.3"
"Q45.2","ICD10CM","CM_758.3"
"Q45.3","ICD10CM","CM_758.3"
"Q45.1","ICD10CM","CM_758.31"
"752","ICD9CM","CM_760"
"752.8","ICD9CM","CM_760"
"752.89","ICD9CM","CM_760"
"752.9","ICD9CM","CM_760"
"Z87.71","ICD10CM","CM_760"
"752.4","ICD9CM","CM_760.1"
"752.40","ICD9CM","CM_760.1"
"752.49","ICD9CM","CM_760.1"
"Q50","ICD10CM","CM_760.1"
"Q51.7","ICD10CM","CM_760.1"
"Q52","ICD10CM","CM_760.1"
"Q52.8","ICD10CM","CM_760.1"
"Q52.9","ICD10CM","CM_760.1"
"752.0","ICD9CM","CM_760.11"
"Q50.2","ICD10CM","CM_760.11"
"Q50.3","ICD10CM","CM_760.11"
"Q50.31","ICD10CM","CM_760.11"
"Q50.39","ICD10CM","CM_760.11"
"Q50.0","ICD10CM","CM_760.111"
"Q50.01","ICD10CM","CM_760.111"
"Q50.02","ICD10CM","CM_760.111"
"Q50.32","ICD10CM","CM_760.112"
"752.1","ICD9CM","CM_760.12"
"752.10","ICD9CM","CM_760.12"
"752.11","ICD9CM","CM_760.12"
"752.19","ICD9CM","CM_760.12"
"Q50.4","ICD10CM","CM_760.12"
"Q50.5","ICD10CM","CM_760.12"
"Q50.6","ICD10CM","CM_760.12"
"654.0","ICD9CM","CM_760.13"
"654.00","ICD9CM","CM_760.13"
"654.01","ICD9CM","CM_760.13"
"654.02","ICD9CM","CM_760.13"
"654.03","ICD9CM","CM_760.13"
"654.04","ICD9CM","CM_760.13"
"752.3","ICD9CM","CM_760.13"
"752.39","ICD9CM","CM_760.13"
"752.43","ICD9CM","CM_760.13"
"752.44","ICD9CM","CM_760.13"
"O34.0","ICD10CM","CM_760.13"
"O34.00","ICD10CM","CM_760.13"
"O34.01","ICD10CM","CM_760.13"
"O34.02","ICD10CM","CM_760.13"
"O34.03","ICD10CM","CM_760.13"
"Q51","ICD10CM","CM_760.13"
"Q51.5","ICD10CM","CM_760.13"
"Q51.8","ICD10CM","CM_760.13"
"Q51.81","ICD10CM","CM_760.13"
"Q51.818","ICD10CM","CM_760.13"
"Q51.82","ICD10CM","CM_760.13"
"Q51.820","ICD10CM","CM_760.13"
"Q51.821","ICD10CM","CM_760.13"
"Q51.828","ICD10CM","CM_760.13"
"Q51.9","ICD10CM","CM_760.13"
"752.31","ICD9CM","CM_760.131"
"752.32","ICD9CM","CM_760.131"
"Q51.0","ICD10CM","CM_760.131"
"Q51.811","ICD10CM","CM_760.131"
"752.2","ICD9CM","CM_760.132"
"752.35","ICD9CM","CM_760.132"
"Q51.1","ICD10CM","CM_760.132"
"Q51.10","ICD10CM","CM_760.132"
"Q51.11","ICD10CM","CM_760.132"
"Q51.2","ICD10CM","CM_760.132"
"Q51.20","ICD10CM","CM_760.132"
"Q51.21","ICD10CM","CM_760.132"
"Q51.22","ICD10CM","CM_760.132"
"Q51.28","ICD10CM","CM_760.132"
"752.34","ICD9CM","CM_760.133"
"Q51.3","ICD10CM","CM_760.133"
"752.33","ICD9CM","CM_760.134"
"Q51.4","ICD10CM","CM_760.134"
"752.36","ICD9CM","CM_760.135"
"Q51.810","ICD10CM","CM_760.135"
"Q52.2","ICD10CM","CM_760.15"
"Q52.4","ICD10CM","CM_760.15"
"752.45","ICD9CM","CM_760.151"
"Q52.0","ICD10CM","CM_760.151"
"752.46","ICD9CM","CM_760.152"
"752.47","ICD9CM","CM_760.152"
"Q52.1","ICD10CM","CM_760.152"
"Q52.10","ICD10CM","CM_760.152"
"Q52.11","ICD10CM","CM_760.152"
"Q52.12","ICD10CM","CM_760.152"
"Q52.120","ICD10CM","CM_760.152"
"Q52.121","ICD10CM","CM_760.152"
"Q52.122","ICD10CM","CM_760.152"
"Q52.123","ICD10CM","CM_760.152"
"Q52.124","ICD10CM","CM_760.152"
"Q52.129","ICD10CM","CM_760.152"
"752.42","ICD9CM","CM_760.153"
"Q52.3","ICD10CM","CM_760.153"
"Q52.7","ICD10CM","CM_760.16"
"Q52.70","ICD10CM","CM_760.16"
"Q52.71","ICD10CM","CM_760.16"
"Q52.79","ICD10CM","CM_760.16"
"Q52.5","ICD10CM","CM_760.161"
"752.41","ICD9CM","CM_760.17"
"Q51.6","ICD10CM","CM_760.17"
"Q52.6","ICD10CM","CM_760.18"
"Q55","ICD10CM","CM_760.2"
"Q55.8","ICD10CM","CM_760.2"
"Q55.9","ICD10CM","CM_760.2"
"752.5","ICD9CM","CM_760.21"
"Q53","ICD10CM","CM_760.21"
"Q55.2","ICD10CM","CM_760.21"
"Q55.20","ICD10CM","CM_760.21"
"Q55.21","ICD10CM","CM_760.21"
"752.51","ICD9CM","CM_760.211"
"Q53.1","ICD10CM","CM_760.211"
"Q53.10","ICD10CM","CM_760.211"
"Q53.11","ICD10CM","CM_760.211"
"Q53.111","ICD10CM","CM_760.211"
"Q53.112","ICD10CM","CM_760.211"
"Q53.13","ICD10CM","CM_760.211"
"Q53.2","ICD10CM","CM_760.211"
"Q53.20","ICD10CM","CM_760.211"
"Q53.21","ICD10CM","CM_760.211"
"Q53.211","ICD10CM","CM_760.211"
"Q53.212","ICD10CM","CM_760.211"
"Q53.23","ICD10CM","CM_760.211"
"Q53.9","ICD10CM","CM_760.211"
"752.52","ICD9CM","CM_760.212"
"Q55.22","ICD10CM","CM_760.212"
"Q53.0","ICD10CM","CM_760.213"
"Q53.00","ICD10CM","CM_760.213"
"Q53.01","ICD10CM","CM_760.213"
"Q53.02","ICD10CM","CM_760.213"
"Q53.12","ICD10CM","CM_760.213"
"Q53.22","ICD10CM","CM_760.213"
"Q55.0","ICD10CM","CM_760.214"
"Q55.1","ICD10CM","CM_760.214"
"752.81","ICD9CM","CM_760.215"
"Q55.23","ICD10CM","CM_760.215"
"752.6","ICD9CM","CM_760.22"
"752.69","ICD9CM","CM_760.22"
"Q55.29","ICD10CM","CM_760.22"
"Q55.6","ICD10CM","CM_760.22"
"Q55.69","ICD10CM","CM_760.22"
"752.61","ICD9CM","CM_760.221"
"Q54","ICD10CM","CM_760.221"
"Q54.0","ICD10CM","CM_760.221"
"Q54.1","ICD10CM","CM_760.221"
"Q54.2","ICD10CM","CM_760.221"
"Q54.3","ICD10CM","CM_760.221"
"Q54.8","ICD10CM","CM_760.221"
"Q54.9","ICD10CM","CM_760.221"
"V13.61","ICD9CM","CM_760.221"
"Z87.710","ICD10CM","CM_760.221"
"752.63","ICD9CM","CM_760.222"
"Q54.4","ICD10CM","CM_760.222"
"752.64","ICD9CM","CM_760.223"
"Q55.5","ICD10CM","CM_760.223"
"Q55.62","ICD10CM","CM_760.223"
"752.65","ICD9CM","CM_760.224"
"Q55.64","ICD10CM","CM_760.224"
"Q55.63","ICD10CM","CM_760.225"
"Q55.61","ICD10CM","CM_760.226"
"752.62","ICD9CM","CM_760.227"
"Q64.0","ICD10CM","CM_760.227"
"Q55.3","ICD10CM","CM_760.25"
"Q55.4","ICD10CM","CM_760.25"
"Q55.7","ICD10CM","CM_760.25"
"778.6","ICD9CM","CM_760.26"
"P83.5","ICD10CM","CM_760.26"
"752.7","ICD9CM","CM_760.3"
"Q56","ICD10CM","CM_760.3"
"Q56.0","ICD10CM","CM_760.3"
"Q56.1","ICD10CM","CM_760.3"
"Q56.2","ICD10CM","CM_760.3"
"Q56.3","ICD10CM","CM_760.3"
"Q56.4","ICD10CM","CM_760.3"
"753","ICD9CM","CM_761"
"753.9","ICD9CM","CM_761"
"Q64","ICD10CM","CM_761"
"Q64.8","ICD10CM","CM_761"
"Q64.9","ICD10CM","CM_761"
"753.3","ICD9CM","CM_761.1"
"Q63","ICD10CM","CM_761.1"
"Q63.8","ICD10CM","CM_761.1"
"Q63.9","ICD10CM","CM_761.1"
"753.0","ICD9CM","CM_761.11"
"Q60","ICD10CM","CM_761.11"
"Q60.0","ICD10CM","CM_761.111"
"Q60.1","ICD10CM","CM_761.111"
"Q60.2","ICD10CM","CM_761.111"
"Q60.3","ICD10CM","CM_761.112"
"Q60.4","ICD10CM","CM_761.112"
"Q60.5","ICD10CM","CM_761.112"
"753.15","ICD9CM","CM_761.12"
"Q61.4","ICD10CM","CM_761.12"
"753.1","ICD9CM","CM_761.13"
"753.10","ICD9CM","CM_761.13"
"753.11","ICD9CM","CM_761.13"
"753.12","ICD9CM","CM_761.13"
"753.13","ICD9CM","CM_761.13"
"753.14","ICD9CM","CM_761.13"
"753.19","ICD9CM","CM_761.13"
"Q61","ICD10CM","CM_761.13"
"Q61.0","ICD10CM","CM_761.13"
"Q61.00","ICD10CM","CM_761.13"
"Q61.01","ICD10CM","CM_761.13"
"Q61.02","ICD10CM","CM_761.13"
"Q61.1","ICD10CM","CM_761.13"
"Q61.11","ICD10CM","CM_761.13"
"Q61.19","ICD10CM","CM_761.13"
"Q61.2","ICD10CM","CM_761.13"
"Q61.3","ICD10CM","CM_761.13"
"Q61.8","ICD10CM","CM_761.13"
"Q61.9","ICD10CM","CM_761.13"
"753.16","ICD9CM","CM_761.131"
"753.17","ICD9CM","CM_761.131"
"Q61.5","ICD10CM","CM_761.131"
"Q63.0","ICD10CM","CM_761.16"
"Q63.1","ICD10CM","CM_761.17"
"Q63.2","ICD10CM","CM_761.18"
"Q63.3","ICD10CM","CM_761.19"
"753.4","ICD9CM","CM_761.2"
"Q62","ICD10CM","CM_761.2"
"Q62.7","ICD10CM","CM_761.2"
"Q62.8","ICD10CM","CM_761.2"
"753.2","ICD9CM","CM_761.21"
"753.20","ICD9CM","CM_761.21"
"753.21","ICD9CM","CM_761.21"
"753.22","ICD9CM","CM_761.21"
"753.29","ICD9CM","CM_761.21"
"Q62.1","ICD10CM","CM_761.21"
"Q62.10","ICD10CM","CM_761.21"
"Q62.11","ICD10CM","CM_761.21"
"Q62.12","ICD10CM","CM_761.21"
"Q62.3","ICD10CM","CM_761.21"
"Q62.39","ICD10CM","CM_761.21"
"Q62.0","ICD10CM","CM_761.211"
"753.23","ICD9CM","CM_761.212"
"Q62.31","ICD10CM","CM_761.212"
